Date,Open,High,Low,Close,Volume,Adj Close,Tmr Close,No.,High_Low,Close_Open
29/12/2004,2064.97,2067.44,2053.6,2057.82,72485200,2057.82,2061.56,252,13.84,-7.15
30/12/2004,2057.35,2065.77,2057.35,2061.56,53629200,2061.56,2066.14,253,8.42,4.21
31/12/2004,2061.54,2066.14,2056.27,2066.14,39401400,2066.14,2070.15,254,9.87,4.6
3/1/2005,2065.15,2074.68,2062.97,2070.15,64922200,2070.15,2068.49,255,11.71,5
4/1/2005,2069.12,2072.58,2061.99,2068.49,100371600,2068.49,2071.04,256,10.59,-0.63
5/1/2005,2063.08,2076.07,2063.08,2071.04,149316600,2071.04,2089.82,257,12.99,7.96
6/1/2005,2070.78,2089.82,2067.1,2089.82,126395000,2089.82,2085.58,258,22.72,19.04
7/1/2005,2087.4,2095.68,2081.63,2085.58,124936800,2085.58,2089.68,259,14.05,-1.82
10/1/2005,2091.37,2094.7,2085.11,2089.68,77998000,2089.68,2092.21,260,9.59,-1.69
11/1/2005,2097.37,2099.92,2088.18,2092.21,133128400,2092.21,2079.8,261,11.74,-5.16
12/1/2005,2086.44,2091.38,2076.82,2079.8,114909400,2079.8,2082.34,262,14.56,-6.64
13/1/2005,2082.99,2090.23,2078.8,2082.34,175170400,2082.34,2076.13,263,11.43,-0.65
14/1/2005,2079.94,2082,2071.9,2076.13,158939400,2076.13,2087.12,264,10.1,-3.81
17/1/2005,2078.01,2089.39,2078.01,2087.12,140143400,2087.12,2084.19,265,11.38,9.11
18/1/2005,2088.71,2091.42,2079.59,2084.19,139892800,2084.19,2097.39,266,11.83,-4.52
19/1/2005,2092.94,2099.33,2086.59,2097.39,151203200,2097.39,2085.39,267,12.74,4.45
20/1/2005,2089.55,2095.78,2085.39,2085.39,131068600,2085.39,2085.39,268,10.39,-4.16
